0, 7, oo, 2, oo, oo
oo, 0, 4, oo, 1, oo
oo, oo, 0, oo, oo, 3
oo, 4, oo, 0, oo, oo
2, 9, 2, 4, 0, oo
oo, 1, oo, oo, oo, 0

0, 7, 11, 2, 8, oo
oo, 0, 4, oo, 1, oo
oo, oo, 0, oo, oo, 3
oo, 4, 8, 0, 5, oo
2, 9, 2, 4, 0, oo
oo, 1, 5, oo, 2, 0

0, 7, 11, 2, 8, 14
oo, 0, 4, oo, 1, 7
oo, oo, 0, oo, oo, 3
oo, 4, 8, 0, 5, 11
2, 9, 2, 4, 0, 5
oo, 1, 5, oo, 2, 0

0, 6, 10, 2, 7, 13
oo, 0, 4, oo, 1, 7
oo, oo, 0, oo, oo, 3
oo, 4, 8, 0, 5, 11
2, 8, 2, 4, 0, 5
oo, 1, 5, oo, 2, 0

0, 6, 9, 2, 7, 12
3, 0, 3, 5, 1, 6
oo, oo, 0, oo, oo, 3
7, 4, 7, 0, 5, 10
2, 8, 2, 4, 0, 5
4, 1, 4, 6, 2, 0

0, 6, 9, 2, 7, 12
3, 0, 3, 5, 1, 6
7, 4, 0, 9, 5, 3
7, 4, 7, 0, 5, 10
2, 6, 2, 4, 0, 5
4, 1, 4, 6, 2, 0

